ID,Category Metric,SubTopic Metric,Metric Type,Description ,Metric,INSTRUMENT,FORMULATION,PAPER LINK
M002,Defense Metrics,Preventive Defenses Strength,Metrics for Blacklisting,"We need to find a way to block traffic from malicious sources that are already known and propagating in the system, e.g.: IP blocks, botnets, urls etc",Reaction time metric,"IDS, operator",,https://link.springer.com/chapter/10.1007/978-3-319-11379-1_1
M003,Defense Metrics,Preventive Defense Strength,Metrics for Blacklisting,"We need to find a way to block traffic from malicious sources that are already known and propagating in the system, e.g.: IP blocks, botnets, urls etc",Coverage metric,operator,,https://link.springer.com/chapter/10.1007/978-3-319-11379-1_2
M004,Defense Metrics,Preventive Defense Strength,Metrics for DEP,"We need to make sure that a page is not writable and executable at the same time, so we avoid code injection. The attack can be defeated by implementing DEP, which ensures that a memory page can be writable or executable at any time, but not both.",Coverage DEP metric,operator,,
M005,Defense Metrics,Preventive Defense Strength,Metrics for CFI,"CFI aims to mitigate code-injection attacks by extracting a program's Control-Flow Graph (CFG), which represents the possible execution paths of the program. CFI further instrumentates the binary code to comply with the CFG at runtime.
",Average indirect target reduction,code analysis tool,,https://dl.acm.org/doi/pdf/10.1145/3054924
M006,Defense Metrics,Preventive Defense Strength,Metrics for CFI,"CFI aims to mitigate code-injection attacks by extracting a program's Control-Flow Graph (CFG), which represents the possible execution paths of the program. CFI further instrumentates the binary code to comply with the CFG at runtime.
",Average target size,code analysis tool,,https://dl.acm.org/doi/pdf/10.1145/3054925
M007,Defense Metrics,Preventive Defense Strength,Metrics for CFI,"CFI aims to mitigate code-injection attacks by extracting a program's Control-Flow Graph (CFG), which represents the possible execution paths of the program. CFI further instrumentates the binary code to comply with the CFG at runtime.
",Evasion resistance ,code analysis tool,,
M008,Defense Metrics,Reactive Defense Strength,Metrics for Monitoring ,"Attackers can be detected by monitoring mechanisms. Current monitoring practices only consider intrusion detection monitor configurations, but not the cost of monitoring or the impact of existing compromised monitors.",Coverage metric ,IDS,,https://www.ideals.illinois.edu/bitstream/handle/2142/88103/THAKORE-THESIS-2015.pdf?sequence=1&isAllowed=y
M009,Defense Metrics,Reactive Defense Strength,Metrics for Monitoring ,"Attackers can be detected by monitoring mechanisms. Current monitoring practices only consider intrusion detection monitor configurations, but not the cost of monitoring or the impact of existing compromised monitors.",Redundancy metric ,IDS,,https://www.ideals.illinois.edu/bitstream/handle/2142/88103/THAKORE-THESIS-2015.pdf?sequence=1&isAllowed=y
M010,Defense Metrics,Reactive Defense Strength,Metrics for Monitoring ,"Attackers can be detected by monitoring mechanisms. Current monitoring practices only consider intrusion detection monitor configurations, but not the cost of monitoring or the impact of existing compromised monitors.",Confidence metric ,IDS,,https://www.ideals.illinois.edu/bitstream/handle/2142/88103/THAKORE-THESIS-2015.pdf?sequence=1&isAllowed=y
M011,Defense Metrics,Reactive Defense Strength,Metrics for Monitoring ,"Attackers can be detected by monitoring mechanisms. Current monitoring practices only consider intrusion detection monitor configurations, but not the cost of monitoring or the impact of existing compromised monitors.
",Cost metric ,IDS,,https://www.ideals.illinois.edu/bitstream/handle/2142/88103/THAKORE-THESIS-2015.pdf?sequence=1&isAllowed=y
M012,Defense Metrics,Reactive Defense Strength,Metrics for Individual Detection Mechanisms ,"Sensing mechanisms can be measured through their individual, relative, and collective strength.",Detection time ,HIDS,,https://www.usenix.org/legacy/events/sec05/tech/full_papers/rajab/rajab.pdf
M013,Defense Metrics,Reactive Defense Strength,Metrics for Individual Detection Mechanisms ,"Sensing mechanisms can be measured through their individual, relative, and collective strength.",Intrusion detection metrics ,IDS,,
M014,Defense Metrics,Reactive Defense Strength,Metrics for Individual Detection Mechanisms ,"Sensing mechanisms can be measured through their individual, relative, and collective strength.",Relative Strength of Defense Mechanisms,IDS,above formulas,"http://ids.cs.columbia.edu/sites/default/files/boggs_driveby_paper81.pdf, https://academiccommons.columbia.edu/doi/10.7916/D8SJ1VW2"
M015,Defense Metrics,Reactive Defense Strength,Metrics for Collective Detection Mechanisms ,These metrics can be used to compare the collective strength of two sets of detection tools. They can be used as D(t) parameters in equation (1) to characterize the strength of defense in depth. They may need to be estimated against known and unknown attacks,Colletive Strength of Defense Mechanisms,IDS,,"http://ids.cs.columbia.edu/sites/default/files/boggs_driveby_paper81.pdf, https://academiccommons.columbia.edu/doi/10.7916/D8SJ1VW3"
